,Media Sources,TBpolarity,compound,date,idx,negative,neutral,positive,text
20,nytimes,0.125,-0.4019,2017-11-05,20,0.211,0.679,0.109,"He kept crime rates low in his first term. Now, Mayor de Blasio has a plan to make police officers nicer. https://t.co/9W1fI7EGcw"
21,nytimes,0.0,0.3612,2017-11-05,21,0.0,0.828,0.172,We used VR to explore what music feels like to a deaf person https://t.co/ApNIF1loo1
22,nytimes,0.09999999999999999,-0.6705,2017-11-05,22,0.184,0.816,0.0,More than 20 people were killed after a gunman walked into a church in a rural town 30 miles east of San Antonio https://t.co/eL5QUzCWv6
23,nytimes,0.1,0.3818,2017-11-05,23,0.104,0.676,0.221,"When behavior goes unseen or ignored by employers, “whisper networks” can provide women with vital support systems https://t.co/4V2qikUqdq"
24,nytimes,0.11666666666666665,0.0,2017-11-05,24,0.0,1.0,0.0,"“There’s a public perception... that Canada is a steward of the environment, but in fact the opposite is true” https://t.co/DGu2q2v0uc"
25,nytimes,-0.03333333333333333,-0.6705,2017-11-05,25,0.22,0.78,0.0,"Breaking News: Several people were killed, including the gunman, in a shooting at a church near San Antonio https://t.co/FXvUKLFCZh"
26,nytimes,0.04999999999999999,0.3612,2017-11-05,26,0.0,0.865,0.135,"In books like “My Secret Garden: Women’s Sexual Fantasies,” Nancy Friday helped establish “a confessional feminism” https://t.co/0Jo4hBnt22"
27,nytimes,0.8,0.34,2017-11-05,27,0.187,0.573,0.24,"Opinion: By fretting about food, we turn occasions for comfort and joy into sources of fear and anxiety https://t.co/E1xfBbPsoz"
28,nytimes,0.375,0.0,2017-11-05,28,0.0,1.0,0.0,Many parennials give their children YouTube channels from the first sonogram and hashtags when they’re born https://t.co/SfIeFdaJkI
29,nytimes,-0.125,0.0,2017-11-05,29,0.0,1.0,0.0,"Michael Urie's first reaction to taking over Harvey Fierstein's part in ""Torch Song""? ""It was way too scary."" https://t.co/5iEkuJIL3b"
30,nytimes,-0.4,0.0,2017-11-05,30,0.0,1.0,0.0,Behind Yuri Milner's investments in Facebook and Twitter were hundreds of millions of dollars from the Kremlin https://t.co/1nVIa0y2zf
31,nytimes,0.8,0.802,2017-11-05,31,0.0,0.613,0.387,@jeffbercovici We sent a sports alert for Shalane Flanagan's victory: https://t.co/zae1UjlCfH. Kamworor's win also received a sports alert.
32,nytimes,-0.16666666666666666,-0.3612,2017-11-05,32,0.135,0.865,0.0,Even the columnist’s daughter criticized his description of the press secretary as a “slightly chunky soccer mom” https://t.co/IDmfVEC1tJ
33,nytimes,0.5,0.6369,2017-11-05,33,0.0,0.743,0.257,Commerce Secretary Wilbur Ross has profited handsomely from a shipping company with business ties to Putin’s family https://t.co/DkZO3TdANj
34,nytimes,0.04999999999999999,0.4215,2017-11-05,34,0.081,0.763,0.157,"With tears and maybe a few colorful words, Flanagan won the race with a time of 2 hours 26 minutes 53 seconds… https://t.co/0LhSE1xlcO"
35,nytimes,0.0,-0.7783,2017-11-05,35,0.404,0.596,0.0,"“No one — no dictator, no regime and no nation — should underestimate, ever, American resolve,” Trump said https://t.co/NwU7mi9SWb"
36,nytimes,0.0,-0.4939,2017-11-05,36,0.244,0.756,0.0,Spanish authorities are seeking to prosecute 20 politicians on rebellion for declaring Catalonia’s independence https://t.co/ynd3olMZZc
37,nytimes,0.5,0.2023,2017-11-05,37,0.0,0.833,0.167,Here are the top story lines for NFL Week 9 https://t.co/IjblFapJPY
38,nytimes,0.0,0.8225,2017-11-05,38,0.0,0.631,0.369,"Geoffrey Kamworor of Kenya, a two-time world champion in the half-marathon, won the men’s race https://t.co/25dHU1O74x"
39,nytimes,0.0,0.25,2017-11-05,39,0.0,0.882,0.118,Why was Larry David making jokes about trying to pick up women at a concentration camp? https://t.co/9hp5blyqf2
40,nytimes,0.1590909090909091,0.5719,2017-11-05,40,0.0,0.821,0.179,"Shalane Flanagan won the New York City Marathon, the first American woman to finish first since 1977 https://t.co/Ge88TTiRRh"
41,nytimes,0.0,-0.4019,2017-11-05,41,0.144,0.856,0.0,The 6 crew members living in isolation for a NASA-funded study exit their habitat in Hawaii after 8 months… https://t.co/SZ5TUVfAKE
42,nytimes,0.0,-0.4215,2017-11-05,42,0.203,0.797,0.0,"Opinion: Everyone lies to the tax man, knowingly or unknowingly https://t.co/NI9jte1r0n https://t.co/5YOOU6oH0c"
43,nytimes,-0.17500000000000002,0.0,2017-11-05,43,0.0,1.0,0.0,"An act of defiance and audacity that helped propel the long, slow march to women’s suffrage https://t.co/BcDhDMU1Ur"
44,nytimes,0.0,-0.8834,2017-11-05,44,0.392,0.608,0.0,A Catholic deacon who ran a transitional home for men with a history of addiction or crime was stabbed to death https://t.co/XiIjOU4UJw
45,nytimes,-0.2,0.0387,2017-11-05,45,0.0,0.948,0.052,"RT @nytopinion: Will the G.O.P. try to challenge Trump in 2020? His unpopularity is stark, but not among his party’s voters. 
https://t.co/…"
46,nytimes,0.0,0.0,2017-11-05,46,0.0,1.0,0.0,Should Americans switch to year-round Daylight Saving Time? https://t.co/2truGkvPLo (This story from March is rather timely today.)
47,nytimes,0.0,0.0,2017-11-05,47,0.0,1.0,0.0,Aaaaand they’re off https://t.co/a6WDwWi4Uh
48,nytimes,0.0,-0.4215,2017-11-05,48,0.157,0.843,0.0,"His is a family of doers in the face of adversity, whether a marathon or political oppression https://t.co/Jd4WQsTN8R"
49,nytimes,0.03125,0.6124,2017-11-05,49,0.12,0.58,0.301,"Britain now stands as one of the world’s weakest major economies, even as the world enjoys relatively robust growth https://t.co/uRtlH5ygaM"
50,nytimes,0.0,0.0,2017-11-05,50,0.0,1.0,0.0,RT @dougmillsnyt: .@realDonaldTrump waves from the golf cart as @AbeShinzo drives them to the clubhouse in Tokyo Japan. #POTUSinAsia https:…
51,nytimes,0.0,0.0,2017-11-05,51,0.0,1.0,0.0,Malliotakis as Manager: Lessons From Hurricane Sandy and Albany https://t.co/TXl978tjao
52,nytimes,0.0,0.0,2017-11-05,52,0.0,1.0,0.0,Ex-Leader of Catalonia Turns Himself In to Police in Brussels https://t.co/iwAG5wzajD
